role,permission,key,duplication
Bid Evaluator,View Bid Security Guarantee,viewBidSecurity,
Bid Opener,View Bid Security Guarantee,viewBidSecurity,dup,
Contract Admin,View Bid Security Guarantee,viewGuarantee,
Contract Admin,Release Guarantee,releaseGuarantee,
Contract Admin,Forfeit guarantee,forfeitGuarantee,
Guarantee Officer,View Guarantee Request ,viewRequest,
Guarantee Officer,Approve Guarantee Request ,approveRequest,
Guarantee Officer,Reject Guarantee Request ,rejectRequest,
Guarantee Officer,View Release Request,viewRelease,
Guarantee Officer,View forfeitment request,viewForfeitment,
Guarantee Officer,Approve forfeitment Request,approveForfeitment,
Guarantee Approver,View Guarantee Request ,viewRequest,dup,
Guarantee Approver,Approve Guarantee Request ,approveRequest,dup,
Guarantee Approver,Reject Guarantee Request ,rejectRequest,dup,
Guarantee Approver,View Release Request,viewRelease,dup,
Guarantee Approver,View forfeitment request,viewForfeitment,dup,
Guarantee Approver,Approve forfeitment Request,approveForfeitment,dup,

